cell_id,previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,history_row_count,future_row_count,base_trajectory_mae_pp,updated_trajectory_mae_pp,delta_mae_pp,mean_absolute_correction_pp,maximum_absolute_correction_pp,selected_candidate_id,selection_fit_cell_count
MATR_B2C23,60,100,theil_all_a0p5,robust_local_trend,40,200,0.70265171311728947,0.57921428160859967,-0.1234374315086898,0.12343743150868997,0.24564662986803973,theil_all_a0p5,40
MATR_B2C25,60,100,theil_all_a0p5,robust_local_trend,40,200,0.053068381687329164,0.052891359359859821,-0.00017702232746934221,0.057925384171897285,0.11527439636198467,theil_all_a0p5,40
MATR_B2C27,60,100,theil_all_a0p5,robust_local_trend,40,200,0.10246328014062243,0.061753381231701494,-0.04070989890892094,0.052758574749492526,0.10499218855620404,theil_all_a0p5,40
MATR_B2C29,60,100,theil_all_a0p5,robust_local_trend,40,200,0.093872113884813618,0.053989477185894044,-0.039882636698919574,0.047293185664915714,0.09411579236799146,theil_all_a0p5,40
MATR_B2C31,60,100,theil_all_a0p5,robust_local_trend,40,200,0.062003680328381987,0.044746240275077016,-0.01725744005330497,0.022326873037450366,0.04443158813422958,theil_all_a0p5,40
MATR_B2C33,60,100,theil_all_a0p5,robust_local_trend,40,200,0.2151114502920565,0.14904168817775429,-0.066069762114302211,0.069258417232256647,0.13782769598459033,theil_all_a0p5,40
MATR_B2C35,60,100,theil_all_a0p5,robust_local_trend,40,200,0.05823630525009605,0.060403585367424809,0.0021672801173287584,0.036830891036323934,0.073295305544923264,theil_all_a0p5,40
MATR_B2C37,60,100,theil_all_a0p5,robust_local_trend,40,200,0.17656570951255682,0.19183730966120741,0.015271600148650588,0.015760101945864205,0.031363386956943684,theil_all_a0p5,40
MATR_B2C39,60,100,theil_all_a0p5,robust_local_trend,40,200,0.05505877288868511,0.055925539931319011,0.00086676704263390081,0.015234377204375293,0.030317168565920982,theil_all_a0p5,40
MATR_B2C4,60,100,theil_all_a0p5,robust_local_trend,40,200,0.46217325397049469,0.52279461288724571,0.060621358916751023,0.060712170382636724,0.12082023956743626,theil_all_a0p5,40
MATR_B2C41,60,100,theil_all_a0p5,robust_local_trend,40,200,0.21319275331089116,0.24812751144021838,0.034934758129327226,0.036202136711233339,0.07204405315668326,theil_all_a0p5,40
MATR_B2C43,60,100,theil_all_a0p5,robust_local_trend,40,200,0.1549750344609177,0.14112694459335587,-0.013848089867561836,0.014309052817543017,0.028475727000085611,theil_all_a0p5,40
MATR_B2C45,60,100,theil_all_a0p5,robust_local_trend,40,200,0.12589729161187777,0.10056967372575017,-0.025327617886127599,0.026618201847678824,0.052971545965529998,theil_all_a0p5,40
MATR_B2C6,60,100,theil_all_a0p5,robust_local_trend,40,200,0.53364665284187596,0.22793391560090812,-0.30571273724096781,0.32259888347033971,0.64198782780167107,theil_all_a0p5,40
