cell_id,previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,history_row_count,future_row_count,base_trajectory_mae_pp,updated_trajectory_mae_pp,delta_mae_pp,mean_absolute_correction_pp,maximum_absolute_correction_pp
MATR_B2C38,60,100,no_update,no_update,40,200,0.033507393741986746,0.033507393741986746,0,0,0
MATR_B2C40,60,100,no_update,no_update,40,200,0.16860775809639997,0.16860775809639997,0,0,0
MATR_B2C42,60,100,no_update,no_update,40,200,0.070059049185882641,0.070059049185882641,0,0,0
MATR_B2C44,60,100,no_update,no_update,40,200,0.32753754732520307,0.32753754732520307,0,0,0
MATR_B2C46,60,100,no_update,no_update,40,200,0.14796329433382369,0.14796329433382369,0,0,0
MATR_B2C47,60,100,no_update,no_update,40,200,0.41827343449574594,0.41827343449574594,0,0,0
MATR_B2C5,60,100,no_update,no_update,40,200,0.032635826101856225,0.032635826101856225,0,0,0
MATR_B3C0,60,100,no_update,no_update,40,200,0.038147575183904013,0.038147575183904013,0,0,0
MATR_B3C1,60,100,no_update,no_update,40,200,0.024824504591908506,0.024824504591908506,0,0,0
MATR_B3C10,60,100,no_update,no_update,40,200,0.022815464067824677,0.022815464067824677,0,0,0
MATR_B3C11,60,100,no_update,no_update,40,200,0.016526613855738007,0.016526613855738007,0,0,0
MATR_B3C12,60,100,no_update,no_update,40,200,0.13373823210731758,0.13373823210731758,0,0,0
MATR_B3C13,60,100,no_update,no_update,40,200,0.026042359237417115,0.026042359237417115,0,0,0
MATR_B3C14,60,100,no_update,no_update,40,200,0.10490643526350489,0.10490643526350489,0,0,0
MATR_B3C15,60,100,no_update,no_update,40,200,0.13057548132847124,0.13057548132847124,0,0,0
MATR_B3C16,60,100,no_update,no_update,40,200,0.021803961666959637,0.021803961666959637,0,0,0
MATR_B3C17,60,100,no_update,no_update,40,200,0.13025572681917588,0.13025572681917588,0,0,0
MATR_B3C18,60,100,no_update,no_update,40,200,0.035523708707321827,0.035523708707321827,0,0,0
MATR_B3C19,60,100,no_update,no_update,40,200,0.020857389918300343,0.020857389918300343,0,0,0
