cell_id,previous_prefix_cycle,current_prefix_cycle,future_row_count,previous_trajectory_mae_pp,current_trajectory_mae_pp,delta_mae_pp
MATR_B2C32,20,40,260,0.59530510131039283,0.60779579234836212,0.012490691037969293
MATR_B2C34,20,40,260,0.46379122051187549,0.58855850026924439,0.1247672797573689
MATR_B2C36,20,40,260,0.35149816871455164,0.062979022652036379,-0.28851914606251527
MATR_B2C38,20,40,260,0.055539961528118145,0.069026441408383696,0.013486479880265551
MATR_B2C40,20,40,260,0.33099415746888161,0.093548310305255289,-0.23744584716362632
MATR_B2C42,20,40,260,0.19875467702199429,0.17593621298374537,-0.022818464038248915
MATR_B2C44,20,40,260,0.28460560972274135,0.38592920168402484,0.10132359196128349
MATR_B2C46,20,40,260,0.19682016224007653,0.12928406620826838,-0.067536096031808157
MATR_B2C47,20,40,260,0.46598606512293933,0.1957364389752265,-0.27024962614771286
MATR_B2C5,20,40,260,0.1339220715869531,0.061960759535225771,-0.07196131205172733
MATR_B3C0,20,40,260,0.18099960910495122,0.028878094256591862,-0.15212151484835937
MATR_B3C1,20,40,260,0.25271007447320176,0.14187667162138895,-0.11083340285181281
MATR_B3C10,20,40,260,0.75884274454129097,0.51471797837211763,-0.24412476616917334
MATR_B3C11,20,40,260,0.087013674533579666,0.03838992460537375,-0.048623749928205916
MATR_B3C12,20,40,260,0.21189757055969682,0.19908246498348567,-0.012815105576211155
MATR_B3C13,20,40,260,0.48227818839943271,0.038850021044317194,-0.44342816735511553
MATR_B3C14,20,40,260,0.1655817350447695,0.087000050844723315,-0.078581684200046187
MATR_B3C15,20,40,260,0.085884853486107457,0.066924603348537254,-0.018960250137570203
MATR_B3C16,20,40,260,0.19467776524086799,0.1454338118916059,-0.049243953349262098
MATR_B3C17,20,40,260,1.5611907483405481,0.065806480751177079,-1.4953842675893709
MATR_B3C18,20,40,260,0.045563826829220708,0.17214303906574654,0.12657921223652585
MATR_B3C19,20,40,260,0.11894494287724451,0.17877484688331693,0.059829904006072424
MATR_B3C20,20,40,260,0.13251353473356689,0.1299644943834519,-0.002549040350114995
MATR_B3C21,20,40,260,1.1296175131312789,0.11267906452977085,-1.0169384486015081
MATR_B3C22,20,40,260,0.29120115197559437,0.28338420052535218,-0.0078169514502421933
MATR_B3C24,20,40,260,0.099294215747185402,0.047964945712260162,-0.05132927003492524
MATR_B3C25,20,40,260,0.27211879679855394,0.031593341088325663,-0.24052545571022826
MATR_B3C26,20,40,260,0.419143089921857,0.020676388685027983,-0.39846670123682904
MATR_B3C27,20,40,260,0.049253778828339222,0.022505753858798216,-0.026748024969541005
MATR_B3C28,20,40,260,1.7617336017922363,0.53550027549929313,-1.226233326292943
MATR_B3C29,20,40,260,0.48119679965553863,0.14381001285802739,-0.33738678679751122
MATR_B3C3,20,40,260,0.21490735888938339,0.061959762534812821,-0.15294759635457056
MATR_B3C30,20,40,260,0.07466235220828675,0.038332452025794994,-0.036329900182491756
MATR_B3C31,20,40,260,0.072463245247544703,0.023835763565533834,-0.048627481682010865
MATR_B3C33,20,40,260,0.027173284635869304,0.060255517190137199,0.033082232554267899
MATR_B3C34,20,40,260,0.076543831692402295,0.11514856931027675,0.03860473761787446
MATR_B3C35,20,40,260,0.15687644219621902,0.2240655225445333,0.067189080348314278
MATR_B3C36,20,40,260,0.26241150431614685,0.16974605248394622,-0.092665451832200624
MATR_B3C38,20,40,260,0.37717615776132885,0.23291165149915494,-0.14426450626217391
MATR_B3C39,20,40,260,0.63757184545338885,0.034837250427442422,-0.6027345950259464
MATR_B3C4,20,40,260,0.15489013110433014,0.033756647474990915,-0.12113348362933923
MATR_B3C40,20,40,260,0.61511465107030838,0.047120731740707918,-0.56799391932960042
