paper_split,cell_id,prefix_cycle,model_id,trajectory_mae_pp,trajectory_rmse_pp,endpoint_absolute_error_pp
primary_test,MATR_B2C20,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.14825067527441518,0.68530538526899654,0.11755786038538929
primary_test,MATR_B2C22,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.14736551267858425,0.52862976722983224,0.32955387639238154
primary_test,MATR_B2C22,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.088587497934417753,0.54003324632085847,0.23146326124941652
primary_test,MATR_B2C22,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.16871976339711955,0.65531120945629517,0.4580399805806934
primary_test,MATR_B2C22,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.12734202113210585,0.70101403089025582,0.32766589160785031
primary_test,MATR_B2C24,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.18787855200293357,0.24511094005787162,0.51674950511434758
primary_test,MATR_B2C24,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.054829308417408004,0.13587706931310747,0.18332745626740632
primary_test,MATR_B2C24,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.2243152997208829,0.33230016374130655,0.66135683628482411
primary_test,MATR_B2C24,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.087085736907368483,0.1277687638179856,0.03912809222262581
primary_test,MATR_B2C26,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.1918476642618997,0.23971708066168035,0.19737056647961992
primary_test,MATR_B2C26,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.28613145498054793,0.37020252485448646,0.74575109589912358
primary_test,MATR_B2C26,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.064352378323835308,0.14453734171934021,0.22181582059911875
primary_test,MATR_B2C26,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.049792786366828282,0.16982610006531482,0.040468706283959932
primary_test,MATR_B2C28,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.51067694761989968,0.80784715915150895,1.256213463905155
primary_test,MATR_B2C28,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.58899081065455339,0.84812716236419172,1.5198401546185067
primary_test,MATR_B2C28,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.50283698438909596,0.79118326553278662,1.1898614423657818
primary_test,MATR_B2C28,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.43393683530868793,0.81483668641448592,0.41431569749403252
primary_test,MATR_B2C3,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,2.3908422635417521,3.163042990450617,6.9132625083385904
primary_test,MATR_B2C3,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,2.2819383180416737,3.0028363092273658,6.5292547992989967
primary_test,MATR_B2C3,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,1.7763025382115762,2.3431769609041888,4.9726728997467262
primary_test,MATR_B2C3,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,1.4619726766472967,1.8282425617286171,3.5732947618943172
primary_test,MATR_B2C30,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.089669577341293299,0.21305275954791472,0.10028120498682824
primary_test,MATR_B2C30,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.12352646501481716,0.19422431808205054,0.23346711413253729
primary_test,MATR_B2C30,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.038047001596136984,0.097511953636096618,0.044621547426345387
primary_test,MATR_B2C30,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.11430081940326005,0.14182463596506056,0.21143215262581805
primary_test,MATR_B2C32,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.55546210607291835,0.71235496795340192,1.4255830711431514
primary_test,MATR_B2C32,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.60779579234836212,0.77728843672407022,1.669356799377951
primary_test,MATR_B2C32,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.43679427311519842,0.53755548412692633,1.1011339565717861
primary_test,MATR_B2C32,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.1246655439851915,0.16928569373399624,0.2597234424358561
primary_test,MATR_B2C34,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.43390514438474398,0.59210619396196795,1.560161737424707
primary_test,MATR_B2C34,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.58855850026924439,0.75365237554684184,1.6734357919524143
primary_test,MATR_B2C34,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.41820522703663876,0.52176789784195232,1.0733661973227981
primary_test,MATR_B2C34,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.072770058055613027,0.10863896499417185,0.016753704333837049
