previous_prefix_cycle,current_prefix_cycle,gate_id,projection_scale,physical_cell_count,activation_count,activation_coverage,activation_precision,mean_base_trajectory_mae_pp,mean_gated_delta_mae_pp,active_p90_delta_mae_pp,active_maximum_delta_mae_pp,eligible
60,100,a0p1_d0p01_r0p5,0.10000000000000001,41,7,0.17073170731707318,1,0.24359906485841418,-0.0080607807044136056,-0.0063433443956436384,-0.0063138363133732125,True
60,100,a0p1_d0p02_r0p0,0.10000000000000001,41,9,0.21951219512195122,1,0.24359906485841418,-0.0087395014585574058,-0.0063531804230671134,-0.0063138363133732125,True
60,100,a0p1_d0p02_r0p5,0.10000000000000001,41,7,0.17073170731707318,1,0.24359906485841418,-0.0080607807044136056,-0.0063433443956436384,-0.0063138363133732125,True
60,100,a0p1_d0p04_r0p0,0.10000000000000001,41,5,0.12195121951219512,1,0.24359906485841418,-0.0080725261813494962,-0.01681698382048933,-0.014563899621965248,False
60,100,a0p1_d0p04_r0p5,0.10000000000000001,41,4,0.097560975609756101,1,0.24359906485841418,-0.0075799259345622899,-0.018644541060111861,-0.014563899621965248,False
60,100,a0p25_d0p01_r0p0,0.25,41,9,0.21951219512195122,1,0.24359906485841418,-0.021779315697481927,-0.015540422632440251,-0.01513179976098826,True
60,100,a0p25_d0p01_r0p5,0.25,41,7,0.17073170731707318,1,0.24359906485841418,-0.020089541680755905,-0.015438266914577253,-0.01513179976098826,True
60,100,a0p25_d0p02_r0p0,0.25,41,9,0.21951219512195122,1,0.24359906485841418,-0.021779315697481927,-0.015540422632440251,-0.01513179976098826,True
60,100,a0p25_d0p02_r0p5,0.25,41,7,0.17073170731707318,1,0.24359906485841418,-0.020089541680755905,-0.015438266914577253,-0.01513179976098826,True
60,100,a0p25_d0p04_r0p0,0.25,41,5,0.12195121951219512,1,0.24359906485841418,-0.020136664082986457,-0.041833977415810651,-0.036224856735118105,False
60,100,a0p25_d0p04_r0p5,0.25,41,4,0.097560975609756101,1,0.24359906485841418,-0.018911111438185253,-0.04648192802642314,-0.036224856735118105,False
60,100,a0p5_d0p01_r0p0,0.5,41,9,0.21951219512195122,1,0.24359906485841418,-0.037316174770420561,-0.028344784544955128,-0.024098794113481571,True
60,100,a0p5_d0p01_r0p5,0.5,41,7,0.17073170731707318,1,0.24359906485841418,-0.033987362690765077,-0.027283286937086738,-0.024098794113481571,True
60,100,a0p5_d0p02_r0p0,0.5,41,9,0.21951219512195122,1,0.24359906485841418,-0.037316174770420561,-0.028344784544955128,-0.024098794113481571,True
60,100,a0p5_d0p02_r0p5,0.5,41,7,0.17073170731707318,1,0.24359906485841418,-0.033987362690765077,-0.027283286937086738,-0.024098794113481571,True
60,100,a0p5_d0p04_r0p0,0.5,41,5,0.12195121951219512,1,0.24359906485841418,-0.034237323887325533,-0.08196043740435803,-0.070812572265324003,False
60,100,a0p5_d0p04_r0p5,0.5,41,4,0.097560975609756101,1,0.24359906485841418,-0.031830440104083847,-0.09181785720940791,-0.070812572265324003,False
60,100,no_update,,41,0,0,,0.24359906485841418,0,,,False
