cell_id,previous_prefix_cycle,current_prefix_cycle,selected_gate_id,selection_fit_cell_count,activated,base_trajectory_mae_pp,updated_trajectory_mae_pp,raw_delta_mae_pp,gated_delta_mae_pp,matched_naive_history_slope_delta_mae_pp,history_theil_slope_pp_per_cycle,reissue_shift_theil_slope_pp_per_cycle,bounded_unassimilated_slope_pp_per_cycle,projected_unassimilated_change_pp,absolute_history_spearman,history_slope_sign_agreement,unassimilated_history_slope_sign_agreement
MATR_B1C26,60,100,a0p5_d0p01_r0p0,40,False,0.19725809373011458,0.19725809373011458,-0.061366577880696827,0,0,-6.264417427250551e-06,-0.0012769142007332738,0.0012706497833060233,0.05082599133224093,0.062664165103189506,False,False
MATR_B1C28,60,100,a0p5_d0p01_r0p0,40,True,0.048017158345262698,0.018610876192439178,-0.02940628215282352,-0.02940628215282352,-0.023651579391723059,0.00050890587607638779,-0.00014903483050537946,0.00065794070658176725,0.026317628263270689,0.69530956848030034,True,True
MATR_B1C3,60,100,a0p5_d0p01_r0p0,40,False,0.015533999001434253,0.015533999001434253,-7.0797859765221738e-05,0,0,-2.5956540322489391e-05,5.3439739522715032e-06,-3.1300514274760894e-05,0.0012520205709904359,0.058911819887429648,False,True
MATR_B1C30,60,100,a0p5_d0p01_r0p0,40,False,0.070532207167319713,0.070532207167319713,-0.045000050376550013,0,0,0.00026272079052421426,0.0011934061715929865,-0.00093068538106877224,0.037227415242750889,0.54390243902439028,True,False
MATR_B1C32,60,100,a0p5_d0p01_r0p0,40,False,0.011378142384698649,0.011378142384698649,-0.00013957378877250959,0,0,-0.0002187673922905274,-0.00025092860644315479,3.2161214152627386e-05,0.0012864485661050955,0.29136960600375239,True,False
MATR_B1C34,60,100,a0p5_d0p01_r0p0,40,False,0.032743669833994744,0.032743669833994744,0.0030668585399146742,0,0,0.00045218711027881028,0.00036908233233733052,8.3104777941479758e-05,0.0033241911176591903,0.66660412757973742,True,True
MATR_B1C36,60,100,a0p5_d0p01_r0p0,40,False,0.071403445869863164,0.071403445869863164,-0.0027454626462383724,0,0,-5.6691045872457759e-05,6.4660935507995529e-07,-5.7337655227537717e-05,0.0022935062091015085,0.029268292682926834,True,True
MATR_B1C38,60,100,a0p5_d0p01_r0p0,40,True,0.046714579981954073,0.022615785868472502,-0.024098794113481571,-0.024098794113481571,0.0039075076479901591,0.0018310497551425656,0.0011306898861976151,0.00070035986894495051,0.02801439475779802,0.95703564727954993,True,True
MATR_B1C40,60,100,a0p5_d0p01_r0p0,40,False,0.017102463355051327,0.017102463355051327,0.027179998250746136,0,0,-0.00010850535546723425,0.00066001084227416528,-0.00076851619774139955,0.030740647909655982,0.18836772983114447,False,True
MATR_B1C42,60,100,a0p5_d0p01_r0p0,40,False,0.051546086478376052,0.051546086478376052,0.019994242948711979,0,0,-0.00046283072820291996,-0.00086191598607573755,0.00039908525787281759,0.015963410314912704,0.56078799249530964,True,False
MATR_B1C44,60,100,a0p5_d0p01_r0p0,40,False,0.08651913830275014,0.08651913830275014,0.0039656286918678674,0,0,0.00010398948330804712,0.00018290746722581517,-7.8917983917768051e-05,0.0031567193567107223,0.1577861163227017,True,False
MATR_B1C5,60,100,a0p5_d0p01_r0p0,40,False,0.032472741853906015,0.032472741853906015,0.017312338888966251,0,0,0.00049333282081117811,0.00089625085114064594,-0.00040291803032946783,0.016116721213178711,0.25140712945590998,True,False
MATR_B1C7,60,100,a0p5_d0p01_r0p0,40,False,0.024558758880006835,0.024558758880006835,-0.0009042068003964239,0,0,0.00063886976989429526,0.00070975086773675559,-7.0881097842460331e-05,0.0028352439136984132,0.57073170731707323,True,False
MATR_B2C0,60,100,a0p5_d0p01_r0p0,40,True,4.0553514012912846,3.3230701630482895,-0.73228123824299507,-0.73228123824299507,-0.71168450601180577,-0.017910913709922708,0.0015208008927750124,-0.019431714602697721,0.77726858410790878,0.74258911819887452,True,True
MATR_B2C11,60,100,a0p5_d0p01_r0p0,40,True,0.30354209935398885,0.20485986424107977,-0.098682235112909078,-0.098682235112909078,-0.03175191898359736,-0.00064838883210569518,0.0014093015771196649,-0.0020576904092253602,0.082307616369014402,0.49287054409005632,True,True
